oid,tgrelid,tgparentid,tgname,tgfoid,tgtype,tgenabled,tgisinternal,tgconstrrelid,tgconstrindid,tgconstraint,tgdeferrable,tginitdeferred,tgnargs,tgattr,tgargs,tgqual,tgoldtable,tgnewtable
17785,16453,0,RI_ConstraintTrigger_a_17785,1654,9,O,True,16463,17722,17784,False,False,0,,<memory at 0x000001A696BA6D40>,,,
17786,16453,0,RI_ConstraintTrigger_a_17786,1655,17,O,True,16463,17722,17784,False,False,0,,<memory at 0x000001A696BA65C0>,,,
17787,16463,0,RI_ConstraintTrigger_c_17787,1644,5,O,True,16453,17722,17784,False,False,0,,<memory at 0x000001A696BA74C0>,,,
17788,16463,0,RI_ConstraintTrigger_c_17788,1645,17,O,True,16453,17722,17784,False,False,0,,<memory at 0x000001A696BA5B40>,,,
17790,16651,0,RI_ConstraintTrigger_a_17790,1654,9,O,True,16594,17482,17789,False,False,0,,<memory at 0x000001A696BA6080>,,,
17791,16651,0,RI_ConstraintTrigger_a_17791,1655,17,O,True,16594,17482,17789,False,False,0,,<memory at 0x000001A696BA6680>,,,
17792,16594,0,RI_ConstraintTrigger_c_17792,1644,5,O,True,16651,17482,17789,False,False,0,,<memory at 0x000001A696BA6800>,,,
17793,16594,0,RI_ConstraintTrigger_c_17793,1645,17,O,True,16651,17482,17789,False,False,0,,<memory at 0x000001A696BA71C0>,,,
17795,16651,0,RI_ConstraintTrigger_a_17795,1654,9,O,True,16594,17482,17794,False,False,0,,<memory at 0x000001A696BA6F80>,,,
17796,16651,0,RI_ConstraintTrigger_a_17796,1655,17,O,True,16594,17482,17794,False,False,0,,<memory at 0x000001A696BA6E00>,,,
17797,16594,0,RI_ConstraintTrigger_c_17797,1644,5,O,True,16651,17482,17794,False,False,0,,<memory at 0x000001A696BA6BC0>,,,
17798,16594,0,RI_ConstraintTrigger_c_17798,1645,17,O,True,16651,17482,17794,False,False,0,,<memory at 0x000001A696BA7940>,,,
17800,16786,0,RI_ConstraintTrigger_a_17800,1654,9,O,True,16594,17754,17799,False,False,0,,<memory at 0x000001A696BA5FC0>,,,
17801,16786,0,RI_ConstraintTrigger_a_17801,1655,17,O,True,16594,17754,17799,False,False,0,,<memory at 0x000001A696BA6980>,,,
17802,16594,0,RI_ConstraintTrigger_c_17802,1644,5,O,True,16786,17754,17799,False,False,0,,<memory at 0x000001A696BA6B00>,,,
17803,16594,0,RI_ConstraintTrigger_c_17803,1645,17,O,True,16786,17754,17799,False,False,0,,<memory at 0x000001A696BA7340>,,,
17805,16463,0,RI_ConstraintTrigger_a_17805,1654,9,O,True,16480,17287,17804,False,False,0,,<memory at 0x000001A696BA7580>,,,
17806,16463,0,RI_ConstraintTrigger_a_17806,1655,17,O,True,16480,17287,17804,False,False,0,,<memory at 0x000001A696BA7700>,,,
17807,16480,0,RI_ConstraintTrigger_c_17807,1644,5,O,True,16463,17287,17804,False,False,0,,<memory at 0x000001A696BA7880>,,,
17808,16480,0,RI_ConstraintTrigger_c_17808,1645,17,O,True,16463,17287,17804,False,False,0,,<memory at 0x000001A696BA7B80>,,,
17810,16472,0,RI_ConstraintTrigger_a_17810,1654,9,O,True,16480,17295,17809,False,False,0,,<memory at 0x000001A696BA7D00>,,,
17811,16472,0,RI_ConstraintTrigger_a_17811,1655,17,O,True,16480,17295,17809,False,False,0,,<memory at 0x000001A696BA7E80>,,,
17812,16480,0,RI_ConstraintTrigger_c_17812,1644,5,O,True,16472,17295,17809,False,False,0,,<memory at 0x000001A696D10040>,,,
17813,16480,0,RI_ConstraintTrigger_c_17813,1645,17,O,True,16472,17295,17809,False,False,0,,<memory at 0x000001A696D101C0>,,,
17815,16435,0,RI_ConstraintTrigger_a_17815,1654,9,O,True,16480,17305,17814,False,False,0,,<memory at 0x000001A696D10340>,,,
17816,16435,0,RI_ConstraintTrigger_a_17816,1655,17,O,True,16480,17305,17814,False,False,0,,<memory at 0x000001A696D104C0>,,,
17817,16480,0,RI_ConstraintTrigger_c_17817,1644,5,O,True,16435,17305,17814,False,False,0,,<memory at 0x000001A696D10640>,,,
17818,16480,0,RI_ConstraintTrigger_c_17818,1645,17,O,True,16435,17305,17814,False,False,0,,<memory at 0x000001A696D107C0>,,,
17820,16441,0,RI_ConstraintTrigger_a_17820,1654,9,O,True,16493,17456,17819,False,False,0,,<memory at 0x000001A696D10940>,,,
17821,16441,0,RI_ConstraintTrigger_a_17821,1655,17,O,True,16493,17456,17819,False,False,0,,<memory at 0x000001A696D10AC0>,,,
17822,16493,0,RI_ConstraintTrigger_c_17822,1644,5,O,True,16441,17456,17819,False,False,0,,<memory at 0x000001A696D10C40>,,,
17823,16493,0,RI_ConstraintTrigger_c_17823,1645,17,O,True,16441,17456,17819,False,False,0,,<memory at 0x000001A696D10DC0>,,,
17825,16486,0,RI_ConstraintTrigger_a_17825,1654,9,O,True,16493,17323,17824,False,False,0,,<memory at 0x000001A696D10F40>,,,
17826,16486,0,RI_ConstraintTrigger_a_17826,1655,17,O,True,16493,17323,17824,False,False,0,,<memory at 0x000001A696D110C0>,,,
17827,16493,0,RI_ConstraintTrigger_c_17827,1644,5,O,True,16486,17323,17824,False,False,0,,<memory at 0x000001A696D11240>,,,
17828,16493,0,RI_ConstraintTrigger_c_17828,1645,17,O,True,16486,17323,17824,False,False,0,,<memory at 0x000001A696D113C0>,,,
17830,16435,0,RI_ConstraintTrigger_a_17830,1654,9,O,True,16493,17305,17829,False,False,0,,<memory at 0x000001A696D11540>,,,
17831,16435,0,RI_ConstraintTrigger_a_17831,1655,17,O,True,16493,17305,17829,False,False,0,,<memory at 0x000001A696D116C0>,,,
17832,16493,0,RI_ConstraintTrigger_c_17832,1644,5,O,True,16435,17305,17829,False,False,0,,<memory at 0x000001A696D11840>,,,
17833,16493,0,RI_ConstraintTrigger_c_17833,1645,17,O,True,16435,17305,17829,False,False,0,,<memory at 0x000001A696D119C0>,,,
17835,16524,0,RI_ConstraintTrigger_a_17835,1654,9,O,True,17103,17337,17834,False,False,0,,<memory at 0x000001A696D11B40>,,,
17836,16524,0,RI_ConstraintTrigger_a_17836,1655,17,O,True,17103,17337,17834,False,False,0,,<memory at 0x000001A696D11CC0>,,,
17837,17103,0,RI_ConstraintTrigger_c_17837,1644,5,O,True,16524,17337,17834,False,False,0,,<memory at 0x000001A696D11E40>,,,
17838,17103,0,RI_ConstraintTrigger_c_17838,1645,17,O,True,16524,17337,17834,False,False,0,,<memory at 0x000001A696D11FC0>,,,
17840,17113,0,RI_ConstraintTrigger_a_17840,1654,9,O,True,17103,17351,17839,False,False,0,,<memory at 0x000001A696D12140>,,,
17841,17113,0,RI_ConstraintTrigger_a_17841,1655,17,O,True,17103,17351,17839,False,False,0,,<memory at 0x000001A696D122C0>,,,
17842,17103,0,RI_ConstraintTrigger_c_17842,1644,5,O,True,17113,17351,17839,False,False,0,,<memory at 0x000001A696D12440>,,,
17843,17103,0,RI_ConstraintTrigger_c_17843,1645,17,O,True,17113,17351,17839,False,False,0,,<memory at 0x000001A696D125C0>,,,
17845,17113,0,RI_ConstraintTrigger_a_17845,1654,9,O,True,17120,17351,17844,False,False,0,,<memory at 0x000001A696D12740>,,,
17846,17113,0,RI_ConstraintTrigger_a_17846,1655,17,O,True,17120,17351,17844,False,False,0,,<memory at 0x000001A696D128C0>,,,
17847,17120,0,RI_ConstraintTrigger_c_17847,1644,5,O,True,17113,17351,17844,False,False,0,,<memory at 0x000001A696D12A40>,,,
17848,17120,0,RI_ConstraintTrigger_c_17848,1645,17,O,True,17113,17351,17844,False,False,0,,<memory at 0x000001A696D12BC0>,,,
17850,17113,0,RI_ConstraintTrigger_a_17850,1654,9,O,True,17120,17351,17849,False,False,0,,<memory at 0x000001A696D12D40>,,,
17851,17113,0,RI_ConstraintTrigger_a_17851,1655,17,O,True,17120,17351,17849,False,False,0,,<memory at 0x000001A696D12EC0>,,,
17852,17120,0,RI_ConstraintTrigger_c_17852,1644,5,O,True,17113,17351,17849,False,False,0,,<memory at 0x000001A696D13040>,,,
17853,17120,0,RI_ConstraintTrigger_c_17853,1645,17,O,True,17113,17351,17849,False,False,0,,<memory at 0x000001A696D131C0>,,,
17855,16441,0,RI_ConstraintTrigger_a_17855,1654,9,O,True,17128,17456,17854,False,False,0,,<memory at 0x000001A696D13340>,,,
17856,16441,0,RI_ConstraintTrigger_a_17856,1655,17,O,True,17128,17456,17854,False,False,0,,<memory at 0x000001A696D134C0>,,,
17857,17128,0,RI_ConstraintTrigger_c_17857,1644,5,O,True,16441,17456,17854,False,False,0,,<memory at 0x000001A696D13640>,,,
17858,17128,0,RI_ConstraintTrigger_c_17858,1645,17,O,True,16441,17456,17854,False,False,0,,<memory at 0x000001A696D137C0>,,,
17860,17274,0,RI_ConstraintTrigger_a_17860,1654,9,O,True,17128,17730,17859,False,False,0,,<memory at 0x000001A696D13940>,,,
17861,17274,0,RI_ConstraintTrigger_a_17861,1655,17,O,True,17128,17730,17859,False,False,0,,<memory at 0x000001A696D13AC0>,,,
17862,17128,0,RI_ConstraintTrigger_c_17862,1644,5,O,True,17274,17730,17859,False,False,0,,<memory at 0x000001A696D13C40>,,,
17863,17128,0,RI_ConstraintTrigger_c_17863,1645,17,O,True,17274,17730,17859,False,False,0,,<memory at 0x000001A696D13DC0>,,,
17865,17223,0,RI_ConstraintTrigger_a_17865,1654,9,O,True,17128,17664,17864,False,False,0,,<memory at 0x000001A696D13F40>,,,
17866,17223,0,RI_ConstraintTrigger_a_17866,1655,17,O,True,17128,17664,17864,False,False,0,,<memory at 0x000001A696D1C100>,,,
17867,17128,0,RI_ConstraintTrigger_c_17867,1644,5,O,True,17223,17664,17864,False,False,0,,<memory at 0x000001A696D1C280>,,,
17868,17128,0,RI_ConstraintTrigger_c_17868,1645,17,O,True,17223,17664,17864,False,False,0,,<memory at 0x000001A696D1C400>,,,
17870,16539,0,RI_ConstraintTrigger_a_17870,1654,9,O,True,16611,17404,17869,False,False,0,,<memory at 0x000001A696D1C580>,,,
17871,16539,0,RI_ConstraintTrigger_a_17871,1655,17,O,True,16611,17404,17869,False,False,0,,<memory at 0x000001A696D1C700>,,,
17872,16611,0,RI_ConstraintTrigger_c_17872,1644,5,O,True,16539,17404,17869,False,False,0,,<memory at 0x000001A696D1C880>,,,
17873,16611,0,RI_ConstraintTrigger_c_17873,1645,17,O,True,16539,17404,17869,False,False,0,,<memory at 0x000001A696D1CA00>,,,
17875,16441,0,RI_ConstraintTrigger_a_17875,1654,9,O,True,16499,17456,17874,False,False,0,,<memory at 0x000001A696D1CB80>,,,
17876,16441,0,RI_ConstraintTrigger_a_17876,1655,17,O,True,16499,17456,17874,False,False,0,,<memory at 0x000001A696D1CD00>,,,
17877,16499,0,RI_ConstraintTrigger_c_17877,1644,5,O,True,16441,17456,17874,False,False,0,,<memory at 0x000001A696D1CE80>,,,
17878,16499,0,RI_ConstraintTrigger_c_17878,1645,17,O,True,16441,17456,17874,False,False,0,,<memory at 0x000001A696D1D000>,,,
17880,16441,0,RI_ConstraintTrigger_a_17880,1654,9,O,True,16539,17456,17879,False,False,0,,<memory at 0x000001A696D1D180>,,,
17881,16441,0,RI_ConstraintTrigger_a_17881,1655,17,O,True,16539,17456,17879,False,False,0,,<memory at 0x000001A696D1D300>,,,
17882,16539,0,RI_ConstraintTrigger_c_17882,1644,5,O,True,16441,17456,17879,False,False,0,,<memory at 0x000001A696D1D480>,,,
17883,16539,0,RI_ConstraintTrigger_c_17883,1645,17,O,True,16441,17456,17879,False,False,0,,<memory at 0x000001A696D1D600>,,,
17885,16532,0,RI_ConstraintTrigger_a_17885,1654,9,O,True,16556,17396,17884,False,False,0,,<memory at 0x000001A696D1D780>,,,
17886,16532,0,RI_ConstraintTrigger_a_17886,1655,17,O,True,16556,17396,17884,False,False,0,,<memory at 0x000001A696D1D900>,,,
17887,16556,0,RI_ConstraintTrigger_c_17887,1644,5,O,True,16532,17396,17884,False,False,0,,<memory at 0x000001A696D1DA80>,,,
17888,16556,0,RI_ConstraintTrigger_c_17888,1645,17,O,True,16532,17396,17884,False,False,0,,<memory at 0x000001A696D1DC00>,,,
17890,16539,0,RI_ConstraintTrigger_a_17890,1654,9,O,True,16556,17404,17889,False,False,0,,<memory at 0x000001A696D1DD80>,,,
17891,16539,0,RI_ConstraintTrigger_a_17891,1655,17,O,True,16556,17404,17889,False,False,0,,<memory at 0x000001A696D1DF00>,,,
17892,16556,0,RI_ConstraintTrigger_c_17892,1644,5,O,True,16539,17404,17889,False,False,0,,<memory at 0x000001A696D1E080>,,,
17893,16556,0,RI_ConstraintTrigger_c_17893,1645,17,O,True,16539,17404,17889,False,False,0,,<memory at 0x000001A696D1E200>,,,
17895,16578,0,RI_ConstraintTrigger_a_17895,1654,9,O,True,16556,17686,17894,False,False,0,,<memory at 0x000001A696D1E380>,,,
17896,16578,0,RI_ConstraintTrigger_a_17896,1655,17,O,True,16556,17686,17894,False,False,0,,<memory at 0x000001A696D1E500>,,,
17897,16556,0,RI_ConstraintTrigger_c_17897,1644,5,O,True,16578,17686,17894,False,False,0,,<memory at 0x000001A696D1E680>,,,
17898,16556,0,RI_ConstraintTrigger_c_17898,1645,17,O,True,16578,17686,17894,False,False,0,,<memory at 0x000001A696D1E800>,,,
17900,16539,0,RI_ConstraintTrigger_a_17900,1654,9,O,True,16561,17404,17899,False,False,0,,<memory at 0x000001A696D1E980>,,,
17901,16539,0,RI_ConstraintTrigger_a_17901,1655,17,O,True,16561,17404,17899,False,False,0,,<memory at 0x000001A696D1EB00>,,,
17902,16561,0,RI_ConstraintTrigger_c_17902,1644,5,O,True,16539,17404,17899,False,False,0,,<memory at 0x000001A696D1EC80>,,,
17903,16561,0,RI_ConstraintTrigger_c_17903,1645,17,O,True,16539,17404,17899,False,False,0,,<memory at 0x000001A696D1EE00>,,,
17905,16539,0,RI_ConstraintTrigger_a_17905,1654,9,O,True,16570,17404,17904,False,False,0,,<memory at 0x000001A696D1EF80>,,,
17906,16539,0,RI_ConstraintTrigger_a_17906,1655,17,O,True,16570,17404,17904,False,False,0,,<memory at 0x000001A696D1F100>,,,
17907,16570,0,RI_ConstraintTrigger_c_17907,1644,5,O,True,16539,17404,17904,False,False,0,,<memory at 0x000001A696D1F280>,,,
17908,16570,0,RI_ConstraintTrigger_c_17908,1645,17,O,True,16539,17404,17904,False,False,0,,<memory at 0x000001A696D1F400>,,,
17910,16441,0,RI_ConstraintTrigger_a_17910,1654,9,O,True,16505,17456,17909,False,False,0,,<memory at 0x000001A696D1F580>,,,
17911,16441,0,RI_ConstraintTrigger_a_17911,1655,17,O,True,16505,17456,17909,False,False,0,,<memory at 0x000001A696D1F700>,,,
17912,16505,0,RI_ConstraintTrigger_c_17912,1644,5,O,True,16441,17456,17909,False,False,0,,<memory at 0x000001A696D1F880>,,,
17913,16505,0,RI_ConstraintTrigger_c_17913,1645,17,O,True,16441,17456,17909,False,False,0,,<memory at 0x000001A696D1FA00>,,,
17915,16435,0,RI_ConstraintTrigger_a_17915,1654,9,O,True,16441,17305,17914,False,False,0,,<memory at 0x000001A696D1FB80>,,,
17916,16435,0,RI_ConstraintTrigger_a_17916,1655,17,O,True,16441,17305,17914,False,False,0,,<memory at 0x000001A696D1FD00>,,,
17917,16441,0,RI_ConstraintTrigger_c_17917,1644,5,O,True,16435,17305,17914,False,False,0,,<memory at 0x000001A696D1FE80>,,,
17918,16441,0,RI_ConstraintTrigger_c_17918,1645,17,O,True,16435,17305,17914,False,False,0,,<memory at 0x000001A696CF4040>,,,
17920,16441,0,RI_ConstraintTrigger_a_17920,1654,9,O,True,17136,17456,17919,False,False,0,,<memory at 0x000001A696CF41C0>,,,
17921,16441,0,RI_ConstraintTrigger_a_17921,1655,17,O,True,17136,17456,17919,False,False,0,,<memory at 0x000001A696CF4340>,,,
