Input Text,Actual Constraint Type,Actual Data Type
"department,column 1: 1",2,3
"department,column 2: Engineering",3,1
"department,column 3: Research and Development",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 2",2,3
"department,column 2: Tool Design",3,1
"department,column 3: Research and Development",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 3",2,3
"department,column 2: Sales",3,1
"department,column 3: Sales and Marketing",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 4",2,3
"department,column 2: Marketing",3,1
"department,column 3: Sales and Marketing",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 5",2,3
"department,column 2: Purchasing",3,1
"department,column 3: Inventory Management",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 6",2,3
"department,column 2: Research and Development",3,1
"department,column 3: Research and Development",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 7",2,3
"department,column 2: Production",3,1
"department,column 3: Manufacturing",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 8",2,3
"department,column 2: Production Control",3,1
"department,column 3: Manufacturing",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 9",2,3
"department,column 2: Human Resources",3,1
"department,column 3: Executive General and Administration",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 10",2,3
"department,column 2: Finance",3,1
"department,column 3: Executive General and Administration",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 11",2,3
"department,column 2: Information Services",3,1
"department,column 3: Executive General and Administration",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 12",2,3
"department,column 2: Document Control",3,1
"department,column 3: Quality Assurance",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 13",2,3
"department,column 2: Quality Assurance",3,1
"department,column 3: Quality Assurance",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 14",2,3
"department,column 2: Facilities and Maintenance",3,1
"department,column 3: Executive General and Administration",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 15",2,3
"department,column 2: Shipping and Receiving",3,1
"department,column 3: Inventory Management",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
"department,column 1: 16",2,3
"department,column 2: Executive",3,1
"department,column 3: Executive General and Administration",3,1
"department,column 4: 2008-04-30 00:00:00",0,10
