Table Name,Column Name,Data Type,Constraint Name,Constraint Type
pg_default_acl,defaclrole,oid,pg_default_acl_role_nsp_obj_index,u
pg_default_acl,defaclnamespace,oid,pg_default_acl_role_nsp_obj_index,u
pg_default_acl,defaclobjtype,"""char""",pg_default_acl_role_nsp_obj_index,u
pg_default_acl,oid,oid,pg_default_acl_oid_index,p
pg_tablespace,oid,oid,pg_tablespace_oid_index,p
pg_tablespace,spcname,name,pg_tablespace_spcname_index,u
pg_type,typname,name,pg_type_typname_nsp_index,u
pg_type,oid,oid,pg_type_oid_index,p
pg_type,typnamespace,oid,pg_type_typname_nsp_index,u
pg_attribute,attnum,smallint,pg_attribute_relid_attnum_index,p
pg_attribute,attrelid,oid,pg_attribute_relid_attnum_index,p
pg_attribute,attrelid,oid,pg_attribute_relid_attnam_index,u
pg_attribute,attname,name,pg_attribute_relid_attnam_index,u
pg_proc,proargtypes,oidvector,pg_proc_proname_args_nsp_index,u
pg_proc,pronamespace,oid,pg_proc_proname_args_nsp_index,u
pg_proc,proname,name,pg_proc_proname_args_nsp_index,u
pg_proc,oid,oid,pg_proc_oid_index,p
pg_class,relname,name,pg_class_relname_nsp_index,u
pg_class,relnamespace,oid,pg_class_relname_nsp_index,u
pg_class,oid,oid,pg_class_oid_index,p
pg_authid,oid,oid,pg_authid_oid_index,p
pg_authid,rolname,name,pg_authid_rolname_index,u
pg_auth_members,grantor,oid,pg_auth_members_role_member_index,u
pg_auth_members,grantor,oid,pg_auth_members_member_role_index,u
pg_auth_members,roleid,oid,pg_auth_members_role_member_index,u
pg_auth_members,member,oid,pg_auth_members_role_member_index,u
pg_auth_members,oid,oid,pg_auth_members_oid_index,p
pg_auth_members,roleid,oid,pg_auth_members_member_role_index,u
pg_auth_members,member,oid,pg_auth_members_member_role_index,u
pg_database,oid,oid,pg_database_oid_index,p
pg_database,datname,name,pg_database_datname_index,u
pg_foreign_server,srvname,name,pg_foreign_server_name_index,u
pg_foreign_server,oid,oid,pg_foreign_server_oid_index,p
pg_user_mapping,oid,oid,pg_user_mapping_oid_index,p
pg_user_mapping,umuser,oid,pg_user_mapping_user_server_index,u
pg_user_mapping,umserver,oid,pg_user_mapping_user_server_index,u
pg_sequence,seqrelid,oid,pg_sequence_seqrelid_index,p
pg_foreign_data_wrapper,fdwname,name,pg_foreign_data_wrapper_name_index,u
pg_foreign_data_wrapper,oid,oid,pg_foreign_data_wrapper_oid_index,p
pg_shdescription,objoid,oid,pg_shdescription_o_c_index,p
pg_shdescription,classoid,oid,pg_shdescription_o_c_index,p
pg_aggregate,aggfnoid,regproc,pg_aggregate_fnoid_index,p
pg_am,amname,name,pg_am_name_index,u
pg_am,oid,oid,pg_am_oid_index,p
pg_amop,oid,oid,pg_amop_oid_index,p
pg_amop,amopstrategy,smallint,pg_amop_fam_strat_index,u
pg_amop,amoprighttype,oid,pg_amop_fam_strat_index,u
pg_amop,amoplefttype,oid,pg_amop_fam_strat_index,u
pg_amop,amopfamily,oid,pg_amop_fam_strat_index,u
pg_amop,amopopr,oid,pg_amop_opr_fam_index,u
pg_amop,amoppurpose,"""char""",pg_amop_opr_fam_index,u
