Table Name,Columns,Data Types,Constraints
pg_default_acl,"['defaclrole', 'defaclnamespace', 'defaclobjtype', 'oid']","['oid', 'oid', '""char""', 'oid']","[('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_role_nsp_obj_index', 'u'), ('pg_default_acl_oid_index', 'p')]"
pg_tablespace,"['oid', 'spcname']","['oid', 'name']","[('pg_tablespace_oid_index', 'p'), ('pg_tablespace_spcname_index', 'u')]"
pg_type,"['typname', 'oid', 'typnamespace']","['name', 'oid', 'oid']","[('pg_type_typname_nsp_index', 'u'), ('pg_type_oid_index', 'p'), ('pg_type_typname_nsp_index', 'u')]"
pg_attribute,"['attnum', 'attrelid', 'attrelid', 'attname']","['smallint', 'oid', 'oid', 'name']","[('pg_attribute_relid_attnum_index', 'p'), ('pg_attribute_relid_attnum_index', 'p'), ('pg_attribute_relid_attnam_index', 'u'), ('pg_attribute_relid_attnam_index', 'u')]"
pg_proc,"['proargtypes', 'pronamespace', 'proname', 'oid']","['oidvector', 'oid', 'name', 'oid']","[('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_proname_args_nsp_index', 'u'), ('pg_proc_oid_index', 'p')]"
pg_class,"['relname', 'relnamespace', 'oid']","['name', 'oid', 'oid']","[('pg_class_relname_nsp_index', 'u'), ('pg_class_relname_nsp_index', 'u'), ('pg_class_oid_index', 'p')]"
pg_authid,"['oid', 'rolname']","['oid', 'name']","[('pg_authid_oid_index', 'p'), ('pg_authid_rolname_index', 'u')]"
pg_auth_members,"['grantor', 'grantor', 'roleid', 'member', 'oid', 'roleid', 'member']","['oid', 'oid', 'oid', 'oid', 'oid', 'oid', 'oid']","[('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_role_member_index', 'u'), ('pg_auth_members_oid_index', 'p'), ('pg_auth_members_member_role_index', 'u'), ('pg_auth_members_member_role_index', 'u')]"
pg_database,"['oid', 'datname']","['oid', 'name']","[('pg_database_oid_index', 'p'), ('pg_database_datname_index', 'u')]"
pg_foreign_server,"['srvname', 'oid']","['name', 'oid']","[('pg_foreign_server_name_index', 'u'), ('pg_foreign_server_oid_index', 'p')]"
pg_user_mapping,"['oid', 'umuser', 'umserver']","['oid', 'oid', 'oid']","[('pg_user_mapping_oid_index', 'p'), ('pg_user_mapping_user_server_index', 'u'), ('pg_user_mapping_user_server_index', 'u')]"
pg_sequence,['seqrelid'],['oid'],"[('pg_sequence_seqrelid_index', 'p')]"
pg_foreign_data_wrapper,"['fdwname', 'oid']","['name', 'oid']","[('pg_foreign_data_wrapper_name_index', 'u'), ('pg_foreign_data_wrapper_oid_index', 'p')]"
pg_shdescription,"['objoid', 'classoid']","['oid', 'oid']","[('pg_shdescription_o_c_index', 'p'), ('pg_shdescription_o_c_index', 'p')]"
pg_aggregate,['aggfnoid'],['regproc'],"[('pg_aggregate_fnoid_index', 'p')]"
pg_am,"['amname', 'oid']","['name', 'oid']","[('pg_am_name_index', 'u'), ('pg_am_oid_index', 'p')]"
pg_amop,"['oid', 'amopstrategy', 'amoprighttype', 'amoplefttype', 'amopfamily', 'amopopr', 'amoppurpose', 'amopfamily']","['oid', 'smallint', 'oid', 'oid', 'oid', 'oid', '""char""', 'oid']","[('pg_amop_oid_index', 'p'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_fam_strat_index', 'u'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'u'), ('pg_amop_opr_fam_index', 'u')]"
pg_amproc,"['amprocnum', 'amprocfamily', 'oid', 'amproclefttype', 'amprocrighttype']","['smallint', 'oid', 'oid', 'oid', 'oid']","[('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_oid_index', 'p'), ('pg_amproc_fam_proc_index', 'u'), ('pg_amproc_fam_proc_index', 'u')]"
pg_attrdef,"['adrelid', 'oid', 'adnum']","['oid', 'oid', 'smallint']","[('pg_attrdef_adrelid_adnum_index', 'u'), ('pg_attrdef_oid_index', 'p'), ('pg_attrdef_adrelid_adnum_index', 'u')]"
pg_cast,"['castsource', 'casttarget', 'oid']","['oid', 'oid', 'oid']","[('pg_cast_source_target_index', 'u'), ('pg_cast_source_target_index', 'u'), ('pg_cast_oid_index', 'p')]"
pg_constraint,"['conrelid', 'contypid', 'oid', 'conname']","['oid', 'oid', 'oid', 'name']","[('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_conrelid_contypid_conname_index', 'u'), ('pg_constraint_oid_index', 'p'), ('pg_constraint_conrelid_contypid_conname_index', 'u')]"
pg_conversion,"['oid', 'oid', 'conname', 'connamespace', 'connamespace', 'conforencoding', 'contoencoding']","['oid', 'oid', 'name', 'oid', 'oid', 'integer', 'integer']","[('pg_conversion_default_index', 'u'), ('pg_conversion_oid_index', 'p'), ('pg_conversion_name_nsp_index', 'u'), ('pg_conversion_name_nsp_index', 'u'), ('pg_conversion_default_index', 'u'), ('pg_conversion_default_index', 'u'), ('pg_conversion_default_index', 'u')]"
pg_description,"['objsubid', 'classoid', 'objoid']","['integer', 'oid', 'oid']","[('pg_description_o_c_o_index', 'p'), ('pg_description_o_c_o_index', 'p'), ('pg_description_o_c_o_index', 'p')]"
pg_index,['indexrelid'],['oid'],"[('pg_index_indexrelid_index', 'p')]"
pg_inherits,"['inhseqno', 'inhrelid']","['integer', 'oid']","[('pg_inherits_relid_seqno_index', 'p'), ('pg_inherits_relid_seqno_index', 'p')]"
pg_language,"['lanname', 'oid']","['name', 'oid']","[('pg_language_name_index', 'u'), ('pg_language_oid_index', 'p')]"
pg_largeobject,"['loid', 'pageno']","['oid', 'integer']","[('pg_largeobject_loid_pn_index', 'p'), ('pg_largeobject_loid_pn_index', 'p')]"
pg_namespace,"['nspname', 'oid']","['name', 'oid']","[('pg_namespace_nspname_index', 'u'), ('pg_namespace_oid_index', 'p')]"
pg_opclass,"['oid', 'opcnamespace', 'opcname', 'opcmethod']","['oid', 'oid', 'name', 'oid']","[('pg_opclass_oid_index', 'p'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u'), ('pg_opclass_am_name_nsp_index', 'u')]"
pg_operator,"['oprright', 'oid', 'oprname', 'oprnamespace', 'oprleft']","['oid', 'oid', 'name', 'oid', 'oid']","[('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oid_index', 'p'), ('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'u'), ('pg_operator_oprname_l_r_n_index', 'u')]"
pg_rewrite,"['oid', 'ev_class', 'rulename']","['oid', 'oid', 'name']","[('pg_rewrite_oid_index', 'p'), ('pg_rewrite_rel_rulename_index', 'u'), ('pg_rewrite_rel_rulename_index', 'u')]"
pg_statistic,"['staattnum', 'starelid', 'stainherit']","['smallint', 'oid', 'boolean']","[('pg_statistic_relid_att_inh_index', 'p'), ('pg_statistic_relid_att_inh_index', 'p'), ('pg_statistic_relid_att_inh_index', 'p')]"
pg_trigger,"['tgrelid', 'oid', 'tgname']","['oid', 'oid', 'name']","[('pg_trigger_tgrelid_tgname_index', 'u'), ('pg_trigger_oid_index', 'p'), ('pg_trigger_tgrelid_tgname_index', 'u')]"
pg_opfamily,"['opfmethod', 'opfname', 'oid', 'opfnamespace']","['oid', 'name', 'oid', 'oid']","[('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_am_name_nsp_index', 'u'), ('pg_opfamily_oid_index', 'p'), ('pg_opfamily_am_name_nsp_index', 'u')]"
pg_db_role_setting,"['setdatabase', 'setrole']","['oid', 'oid']","[('pg_db_role_setting_databaseid_rol_index', 'p'), ('pg_db_role_setting_databaseid_rol_index', 'p')]"
pg_largeobject_metadata,['oid'],['oid'],"[('pg_largeobject_metadata_oid_index', 'p')]"
pg_extension,"['oid', 'extname']","['oid', 'name']","[('pg_extension_oid_index', 'p'), ('pg_extension_name_index', 'u')]"
pg_foreign_table,['ftrelid'],['oid'],"[('pg_foreign_table_relid_index', 'p')]"
pg_policy,"['oid', 'polname', 'polrelid']","['oid', 'name', 'oid']","[('pg_policy_oid_index', 'p'), ('pg_policy_polrelid_polname_index', 'u'), ('pg_policy_polrelid_polname_index', 'u')]"
pg_partitioned_table,['partrelid'],['oid'],"[('pg_partitioned_table_partrelid_index', 'p')]"
pg_statistic_ext,"['stxnamespace', 'oid', 'stxname']","['oid', 'oid', 'name']","[('pg_statistic_ext_name_index', 'u'), ('pg_statistic_ext_oid_index', 'p'), ('pg_statistic_ext_name_index', 'u')]"
