Table Name,Columns,Data Types,Constraints
humanresources.department,['departmentid'],[['integer']],"[('PK_Department_DepartmentID', 'u')]"
humanresources.employee,"['gender', 'vacationhours', 'sickleavehours', 'businessentityid', 'birthdate', 'hiredate', 'maritalstatus', 'businessentityid']","[['character(1)', 'smallint', 'smallint', 'integer', 'date', 'date', 'character(1)', 'integer']]","[('CK_Employee_Gender', 'u'), ('CK_Employee_VacationHours', 'u'), ('CK_Employee_SickLeaveHours', 'u'), ('FK_Employee_Person_BusinessEntityID', 'p'), ('CK_Employee_BirthDate', 'p'), ('CK_Employee_HireDate', 'u'), ('CK_Employee_MaritalStatus', 'u'), ('PK_Employee_BusinessEntityID', 'p')]"
humanresources.employeedepartmenthistory,"['enddate', 'startdate', 'businessentityid', 'departmentid', 'shiftid', 'businessentityid', 'departmentid', 'shiftid', 'startdate']","[['date', 'date', 'integer', 'smallint', 'smallint', 'integer', 'smallint', 'smallint', 'date']]","[('CK_EmployeeDepartmentHistory_EndDate', 'u'), ('CK_EmployeeDepartmentHistory_EndDate', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'p'), ('FK_EmployeeDepartmentHistory_Shift_ShiftID', 'p'), ('FK_EmployeeDepartmentHistory_Employee_BusinessEntityID', 'u'), ('FK_EmployeeDepartmentHistory_Department_DepartmentID', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'p'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'u')]"
humanresources.employeepayhistory,"['ratechangedate', 'businessentityid', 'rate', 'payfrequency', 'businessentityid']","[['timestamp without time zone', 'integer', 'numeric', 'smallint', 'integer']]","[('PK_EmployeePayHistory_BusinessEntityID_RateChangeDate', 'u'), ('PK_EmployeePayHistory_BusinessEntityID_RateChangeDate', 'u'), ('CK_EmployeePayHistory_Rate', 'u'), ('CK_EmployeePayHistory_PayFrequency', 'p'), ('FK_EmployeePayHistory_Employee_BusinessEntityID', 'p')]"
humanresources.jobcandidate,"['businessentityid', 'jobcandidateid']","[['integer', 'integer']]","[('FK_JobCandidate_Employee_BusinessEntityID', 'u'), ('PK_JobCandidate_JobCandidateID', 'u')]"
humanresources.shift,['shiftid'],[['integer']],"[('PK_Shift_ShiftID', 'u')]"
person.address,"['addressid', 'stateprovinceid']","[['integer', 'integer']]","[('PK_Address_AddressID', 'u'), ('FK_Address_StateProvince_StateProvinceID', 'u')]"
person.addresstype,['addresstypeid'],[['integer']],"[('PK_AddressType_AddressTypeID', 'u')]"
person.businessentity,['businessentityid'],[['integer']],"[('PK_BusinessEntity_BusinessEntityID', 'u')]"
person.businessentityaddress,"['addresstypeid', 'addressid', 'businessentityid', 'addresstypeid', 'businessentityid', 'addressid']","[['integer', 'integer', 'integer', 'integer', 'integer', 'integer']]","[('FK_BusinessEntityAddress_AddressType_AddressTypeID', 'u'), ('FK_BusinessEntityAddress_Address_AddressID', 'u'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'u'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'p'), ('FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID', 'p'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'u')]"
