Table Name,Column Name,Data Type,Constraint Name,Constraint Type,processed_schema
humanresources.department,['departmentid'],['integer'],"[('PK_Department_DepartmentID', 'u')]",['p'],humanresources.department departmentid integer PK_Department_DepartmentID_u 0 u
humanresources.employee,"['gender', 'vacationhours', 'sickleavehours', 'businessentityid', 'birthdate', 'hiredate', 'maritalstatus', 'businessentityid']","['character(1)', 'smallint', 'smallint', 'integer', 'date', 'date', 'character(1)', 'integer']","[('CK_Employee_Gender', 'u'), ('CK_Employee_VacationHours', 'u'), ('CK_Employee_SickLeaveHours', 'u'), ('FK_Employee_Person_BusinessEntityID', 'p'), ('CK_Employee_BirthDate', 'p'), ('CK_Employee_HireDate', 'u'), ('CK_Employee_MaritalStatus', 'u'), ('PK_Employee_BusinessEntityID', 'p')]","['c', 'c', 'c', 'f', 'c', 'c', 'c', 'p']",humanresources.employee gender vacationhours sickleavehours businessentityid birthdate hiredate maritalstatus businessentityid character(1) smallint smallint integer date date character(1) integer CK_Employee_Gender_u CK_Employee_VacationHours_u CK_Employee_SickLeaveHours_u FK_Employee_Person_BusinessEntityID_p CK_Employee_BirthDate_p CK_Employee_HireDate_u CK_Employee_MaritalStatus_u PK_Employee_BusinessEntityID_p 0 1 2 3 4 5 6 7 u u u p p u u p
humanresources.employeedepartmenthistory,"['enddate', 'startdate', 'businessentityid', 'departmentid', 'shiftid', 'businessentityid', 'departmentid', 'shiftid', 'startdate']","['date', 'date', 'integer', 'smallint', 'smallint', 'integer', 'smallint', 'smallint', 'date']","[('CK_EmployeeDepartmentHistory_EndDate', 'u'), ('CK_EmployeeDepartmentHistory_EndDate', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'p'), ('FK_EmployeeDepartmentHistory_Shift_ShiftID', 'p'), ('FK_EmployeeDepartmentHistory_Employee_BusinessEntityID', 'u'), ('FK_EmployeeDepartmentHistory_Department_DepartmentID', 'u'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'p'), ('PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm', 'u')]","['c', 'c', 'p', 'p', 'f', 'f', 'f', 'p', 'p']",humanresources.employeedepartmenthistory enddate startdate businessentityid departmentid shiftid businessentityid departmentid shiftid startdate date date integer smallint smallint integer smallint smallint date CK_EmployeeDepartmentHistory_EndDate_u CK_EmployeeDepartmentHistory_EndDate_u PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm_u PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm_p FK_EmployeeDepartmentHistory_Shift_ShiftID_p FK_EmployeeDepartmentHistory_Employee_BusinessEntityID_u FK_EmployeeDepartmentHistory_Department_DepartmentID_u PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm_p PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_Departm_u 0 1 2 3 4 5 6 7 8 u u u p p u u p u
humanresources.employeepayhistory,"['ratechangedate', 'businessentityid', 'rate', 'payfrequency', 'businessentityid']","['timestamp without time zone', 'integer', 'numeric', 'smallint', 'integer']","[('PK_EmployeePayHistory_BusinessEntityID_RateChangeDate', 'u'), ('PK_EmployeePayHistory_BusinessEntityID_RateChangeDate', 'u'), ('CK_EmployeePayHistory_Rate', 'u'), ('CK_EmployeePayHistory_PayFrequency', 'p'), ('FK_EmployeePayHistory_Employee_BusinessEntityID', 'p')]","['p', 'p', 'c', 'c', 'f']",humanresources.employeepayhistory ratechangedate businessentityid rate payfrequency businessentityid timestamp without time zone integer numeric smallint integer PK_EmployeePayHistory_BusinessEntityID_RateChangeDate_u PK_EmployeePayHistory_BusinessEntityID_RateChangeDate_u CK_EmployeePayHistory_Rate_u CK_EmployeePayHistory_PayFrequency_p FK_EmployeePayHistory_Employee_BusinessEntityID_p 0 1 2 3 4 u u u p p
humanresources.jobcandidate,"['businessentityid', 'jobcandidateid']","['integer', 'integer']","[('FK_JobCandidate_Employee_BusinessEntityID', 'u'), ('PK_JobCandidate_JobCandidateID', 'u')]","['f', 'p']",humanresources.jobcandidate businessentityid jobcandidateid integer integer FK_JobCandidate_Employee_BusinessEntityID_u PK_JobCandidate_JobCandidateID_u 0 1 u u
humanresources.shift,['shiftid'],['integer'],"[('PK_Shift_ShiftID', 'u')]",['p'],humanresources.shift shiftid integer PK_Shift_ShiftID_u 0 u
person.address,"['addressid', 'stateprovinceid']","['integer', 'integer']","[('PK_Address_AddressID', 'u'), ('FK_Address_StateProvince_StateProvinceID', 'u')]","['p', 'f']",person.address addressid stateprovinceid integer integer PK_Address_AddressID_u FK_Address_StateProvince_StateProvinceID_u 0 1 u u
person.addresstype,['addresstypeid'],['integer'],"[('PK_AddressType_AddressTypeID', 'u')]",['p'],person.addresstype addresstypeid integer PK_AddressType_AddressTypeID_u 0 u
person.businessentity,['businessentityid'],['integer'],"[('PK_BusinessEntity_BusinessEntityID', 'u')]",['p'],person.businessentity businessentityid integer PK_BusinessEntity_BusinessEntityID_u 0 u
person.businessentityaddress,"['addresstypeid', 'addressid', 'businessentityid', 'addresstypeid', 'businessentityid', 'addressid']","['integer', 'integer', 'integer', 'integer', 'integer', 'integer']","[('FK_BusinessEntityAddress_AddressType_AddressTypeID', 'u'), ('FK_BusinessEntityAddress_Address_AddressID', 'u'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'u'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'p'), ('FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID', 'p'), ('PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType', 'u')]","['f', 'f', 'p', 'p', 'f', 'p']",person.businessentityaddress addresstypeid addressid businessentityid addresstypeid businessentityid addressid integer integer integer integer integer integer FK_BusinessEntityAddress_AddressType_AddressTypeID_u FK_BusinessEntityAddress_Address_AddressID_u PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType_u PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType_p FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID_p PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressType_u 0 1 2 3 4 5 u u u p p u
