Table Schema,Table Name,Column Name,Data Type,Is Nullable,Constraint Type,Ordinal Position
hr,d,id,integer,YES,,1
hr,d,departmentid,integer,YES,,2
hr,d,name,character varying,YES,,3
hr,d,groupname,character varying,YES,,4
hr,d,modifieddate,timestamp without time zone,YES,,5
hr,e,id,integer,YES,,1
hr,e,businessentityid,integer,YES,,2
hr,e,nationalidnumber,character varying,YES,,3
hr,e,loginid,character varying,YES,,4
hr,e,jobtitle,character varying,YES,,5
hr,e,birthdate,date,YES,,6
hr,e,maritalstatus,character,YES,,7
hr,e,gender,character,YES,,8
hr,e,hiredate,date,YES,,9
hr,e,salariedflag,boolean,NO,,10
hr,e,vacationhours,smallint,YES,,11
hr,e,sickleavehours,smallint,YES,,12
hr,e,currentflag,boolean,NO,,13
hr,e,rowguid,uuid,YES,,14
hr,e,modifieddate,timestamp without time zone,YES,,15
hr,e,organizationnode,character varying,YES,,16
hr,edh,id,integer,YES,,1
hr,edh,businessentityid,integer,YES,,2
hr,edh,departmentid,smallint,YES,,3
hr,edh,shiftid,smallint,YES,,4
hr,edh,startdate,date,YES,,5
hr,edh,enddate,date,YES,,6
hr,edh,modifieddate,timestamp without time zone,YES,,7
hr,eph,id,integer,YES,,1
hr,eph,businessentityid,integer,YES,,2
hr,eph,ratechangedate,timestamp without time zone,YES,,3
hr,eph,rate,numeric,YES,,4
hr,eph,payfrequency,smallint,YES,,5
hr,eph,modifieddate,timestamp without time zone,YES,,6
hr,jc,id,integer,YES,,1
hr,jc,jobcandidateid,integer,YES,,2
hr,jc,businessentityid,integer,YES,,3
hr,jc,resume,xml,YES,,4
hr,jc,modifieddate,timestamp without time zone,YES,,5
hr,s,id,integer,YES,,1
hr,s,shiftid,integer,YES,,2
hr,s,name,character varying,YES,,3
hr,s,starttime,time without time zone,YES,,4
hr,s,endtime,time without time zone,YES,,5
hr,s,modifieddate,timestamp without time zone,YES,,6
humanresources,department,departmentid,integer,NO,PRIMARY KEY,1
humanresources,department,name,character varying,NO,,2
humanresources,department,groupname,character varying,NO,,3
humanresources,department,modifieddate,timestamp without time zone,NO,,4
humanresources,employee,businessentityid,integer,NO,PRIMARY KEY,1
humanresources,employee,nationalidnumber,character varying,NO,,2
humanresources,employee,loginid,character varying,NO,,3
humanresources,employee,jobtitle,character varying,NO,,6
humanresources,employee,birthdate,date,NO,CHECK,7
humanresources,employee,maritalstatus,character,NO,CHECK,8
humanresources,employee,gender,character,NO,CHECK,9
humanresources,employee,hiredate,date,NO,CHECK,10
humanresources,employee,salariedflag,boolean,NO,,11
humanresources,employee,vacationhours,smallint,NO,CHECK,12
humanresources,employee,sickleavehours,smallint,NO,CHECK,13
humanresources,employee,currentflag,boolean,NO,,14
humanresources,employee,rowguid,uuid,NO,,15
humanresources,employee,modifieddate,timestamp without time zone,NO,,16
humanresources,employee,organizationnode,character varying,YES,,17
humanresources,employeedepartmenthistory,businessentityid,integer,NO,PRIMARY KEY,1
humanresources,employeedepartmenthistory,departmentid,smallint,NO,PRIMARY KEY,2
humanresources,employeedepartmenthistory,shiftid,smallint,NO,PRIMARY KEY,3
humanresources,employeedepartmenthistory,startdate,date,NO,"CHECK, PRIMARY KEY",4
humanresources,employeedepartmenthistory,enddate,date,YES,CHECK,5
humanresources,employeedepartmenthistory,modifieddate,timestamp without time zone,NO,,6
humanresources,employeepayhistory,businessentityid,integer,NO,PRIMARY KEY,1
humanresources,employeepayhistory,ratechangedate,timestamp without time zone,NO,PRIMARY KEY,2
humanresources,employeepayhistory,rate,numeric,NO,CHECK,3
humanresources,employeepayhistory,payfrequency,smallint,NO,CHECK,4
humanresources,employeepayhistory,modifieddate,timestamp without time zone,NO,,5
humanresources,jobcandidate,jobcandidateid,integer,NO,PRIMARY KEY,1
humanresources,jobcandidate,businessentityid,integer,YES,,2
humanresources,jobcandidate,resume,xml,YES,,3
humanresources,jobcandidate,modifieddate,timestamp without time zone,NO,,4
humanresources,shift,shiftid,integer,NO,PRIMARY KEY,1
humanresources,shift,name,character varying,NO,,2
humanresources,shift,starttime,time without time zone,NO,,3
humanresources,shift,endtime,time without time zone,NO,,4
humanresources,shift,modifieddate,timestamp without time zone,NO,,5
humanresources,vemployee,businessentityid,integer,YES,,1
humanresources,vemployee,title,character varying,YES,,2
humanresources,vemployee,firstname,character varying,YES,,3
humanresources,vemployee,middlename,character varying,YES,,4
humanresources,vemployee,lastname,character varying,YES,,5
humanresources,vemployee,suffix,character varying,YES,,6
humanresources,vemployee,jobtitle,character varying,YES,,7
humanresources,vemployee,phonenumber,character varying,YES,,8
humanresources,vemployee,phonenumbertype,character varying,YES,,9
humanresources,vemployee,emailaddress,character varying,YES,,10
humanresources,vemployee,emailpromotion,integer,YES,,11
humanresources,vemployee,addressline1,character varying,YES,,12
humanresources,vemployee,addressline2,character varying,YES,,13
humanresources,vemployee,city,character varying,YES,,14
humanresources,vemployee,stateprovincename,character varying,YES,,15
humanresources,vemployee,postalcode,character varying,YES,,16
humanresources,vemployee,countryregionname,character varying,YES,,17
humanresources,vemployee,additionalcontactinfo,xml,YES,,18
humanresources,vemployeedepartment,businessentityid,integer,YES,,1
humanresources,vemployeedepartment,title,character varying,YES,,2
humanresources,vemployeedepartment,firstname,character varying,YES,,3
humanresources,vemployeedepartment,middlename,character varying,YES,,4
humanresources,vemployeedepartment,lastname,character varying,YES,,5
humanresources,vemployeedepartment,suffix,character varying,YES,,6
humanresources,vemployeedepartment,jobtitle,character varying,YES,,7
humanresources,vemployeedepartment,department,character varying,YES,,8
humanresources,vemployeedepartment,groupname,character varying,YES,,9
humanresources,vemployeedepartment,startdate,date,YES,,10
humanresources,vemployeedepartmenthistory,businessentityid,integer,YES,,1
humanresources,vemployeedepartmenthistory,title,character varying,YES,,2
humanresources,vemployeedepartmenthistory,firstname,character varying,YES,,3
humanresources,vemployeedepartmenthistory,middlename,character varying,YES,,4
humanresources,vemployeedepartmenthistory,lastname,character varying,YES,,5
humanresources,vemployeedepartmenthistory,suffix,character varying,YES,,6
humanresources,vemployeedepartmenthistory,shift,character varying,YES,,7
humanresources,vemployeedepartmenthistory,department,character varying,YES,,8
humanresources,vemployeedepartmenthistory,groupname,character varying,YES,,9
humanresources,vemployeedepartmenthistory,startdate,date,YES,,10
humanresources,vemployeedepartmenthistory,enddate,date,YES,,11
humanresources,vjobcandidate,jobcandidateid,integer,YES,,1
humanresources,vjobcandidate,businessentityid,integer,YES,,2
humanresources,vjobcandidate,Name.Prefix,character varying,YES,,3
humanresources,vjobcandidate,Name.First,character varying,YES,,4
humanresources,vjobcandidate,Name.Middle,character varying,YES,,5
humanresources,vjobcandidate,Name.Last,character varying,YES,,6
humanresources,vjobcandidate,Name.Suffix,character varying,YES,,7
humanresources,vjobcandidate,Skills,character varying,YES,,8
humanresources,vjobcandidate,Addr.Type,character varying,YES,,9
humanresources,vjobcandidate,Addr.Loc.CountryRegion,character varying,YES,,10
humanresources,vjobcandidate,Addr.Loc.State,character varying,YES,,11
humanresources,vjobcandidate,Addr.Loc.City,character varying,YES,,12
humanresources,vjobcandidate,Addr.PostalCode,character varying,YES,,13
humanresources,vjobcandidate,EMail,character varying,YES,,14
humanresources,vjobcandidate,WebSite,character varying,YES,,15
humanresources,vjobcandidate,modifieddate,timestamp without time zone,YES,,16
humanresources,vjobcandidateeducation,jobcandidateid,integer,YES,,1
humanresources,vjobcandidateeducation,Edu.Level,character varying,YES,,2
humanresources,vjobcandidateeducation,Edu.StartDate,date,YES,,3
humanresources,vjobcandidateeducation,Edu.EndDate,date,YES,,4
humanresources,vjobcandidateeducation,Edu.Degree,character varying,YES,,5
humanresources,vjobcandidateeducation,Edu.Major,character varying,YES,,6
humanresources,vjobcandidateeducation,Edu.Minor,character varying,YES,,7
humanresources,vjobcandidateeducation,Edu.GPA,character varying,YES,,8
humanresources,vjobcandidateeducation,Edu.GPAScale,character varying,YES,,9
humanresources,vjobcandidateeducation,Edu.School,character varying,YES,,10
humanresources,vjobcandidateeducation,Edu.Loc.CountryRegion,character varying,YES,,11
humanresources,vjobcandidateeducation,Edu.Loc.State,character varying,YES,,12
humanresources,vjobcandidateeducation,Edu.Loc.City,character varying,YES,,13
humanresources,vjobcandidateemployment,jobcandidateid,integer,YES,,1
humanresources,vjobcandidateemployment,Emp.StartDate,date,YES,,2
humanresources,vjobcandidateemployment,Emp.EndDate,date,YES,,3
humanresources,vjobcandidateemployment,Emp.OrgName,character varying,YES,,4
humanresources,vjobcandidateemployment,Emp.JobTitle,character varying,YES,,5
humanresources,vjobcandidateemployment,Emp.Responsibility,character varying,YES,,6
humanresources,vjobcandidateemployment,Emp.FunctionCategory,character varying,YES,,7
humanresources,vjobcandidateemployment,Emp.IndustryCategory,character varying,YES,,8
humanresources,vjobcandidateemployment,Emp.Loc.CountryRegion,character varying,YES,,9
humanresources,vjobcandidateemployment,Emp.Loc.State,character varying,YES,,10
humanresources,vjobcandidateemployment,Emp.Loc.City,character varying,YES,,11
pe,a,id,integer,YES,,1
pe,a,addressid,integer,YES,,2
pe,a,addressline1,character varying,YES,,3
pe,a,addressline2,character varying,YES,,4
pe,a,city,character varying,YES,,5
pe,a,stateprovinceid,integer,YES,,6
pe,a,postalcode,character varying,YES,,7
pe,a,spatiallocation,bytea,YES,,8
pe,a,rowguid,uuid,YES,,9
pe,a,modifieddate,timestamp without time zone,YES,,10
pe,at,id,integer,YES,,1
pe,at,addresstypeid,integer,YES,,2
pe,at,name,character varying,YES,,3
pe,at,rowguid,uuid,YES,,4
pe,at,modifieddate,timestamp without time zone,YES,,5
pe,be,id,integer,YES,,1
pe,be,businessentityid,integer,YES,,2
pe,be,rowguid,uuid,YES,,3
pe,be,modifieddate,timestamp without time zone,YES,,4
pe,bea,id,integer,YES,,1
pe,bea,businessentityid,integer,YES,,2
pe,bea,addressid,integer,YES,,3
pe,bea,addresstypeid,integer,YES,,4
pe,bea,rowguid,uuid,YES,,5
pe,bea,modifieddate,timestamp without time zone,YES,,6
pe,bec,id,integer,YES,,1
pe,bec,businessentityid,integer,YES,,2
pe,bec,personid,integer,YES,,3
pe,bec,contacttypeid,integer,YES,,4
pe,bec,rowguid,uuid,YES,,5
